"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",2025-11-22,1,1,0.00708601228587669,0.00698382783416406,1,1,0.0116,0.0114417660611699,0,1,4
"FluSight-baseline",2025-11-29,1,1,0.0145006138523625,0.014094431784678,1,1,0.019575,0.0190812749380088,0,0.75,4
"FluSight-baseline",2025-12-06,1,1,0.0272476282568636,0.0260863411632123,1,1,0.032725,0.0314391642154666,0,0.5,4
"FluSight-baseline",2025-12-13,1,1,0.0364277936662943,0.0348581721020945,1,1,0.042775,0.0410486167766372,0,0.25,4
"FluSight-baseline",2025-12-20,1,1,0.0283175911618443,0.0269408000279492,1,1,0.034225,0.0326411218694123,0,0.25,4
"FluSight-baseline",2025-12-27,1,1,0.0135674888022005,0.0128023449144607,1,1,0.019,0.017968632599612,0,0.75,4
"FluSight-baseline",2026-01-03,1,1,0.0318962440175777,0.0301283826582264,1,1,0.03925,0.036988057591203,0,0,4
"FluSight-baseline",2026-01-10,1,1,0.0190422473803776,0.0181697781886739,1,1,0.02655,0.0253091783146574,0,0,4
"FluSight-baseline",2026-01-17,1,1,0.00408518430676315,0.00393562248575491,1,1,0.006675,0.00643562395189,0.25,1,4
"FluSight-baseline",2026-01-24,1,1,0.00241109068704656,0.00233579506920379,1,1,0.003175,0.00307292100734613,0.75,1,4
"FluSight-baseline",2026-01-31,1,1,0.00163525898502083,0.00158178164574709,1,1,0.000924999999999999,0.000894431595384812,1,1,4
"FluSight-baseline",2026-02-07,1,1,0.00219102918111572,0.00212287516271599,1,1,0.002625,0.00254580889152311,1,1,4
"FluSight-baseline",2026-02-14,1,1,0.00287460041050627,0.00278781817178004,1,1,0.0044,0.00427203180411537,0.25,1,4
"FluSight-baseline",2026-02-21,1,1,0.00508962590626882,0.00494266998643302,1,1,0.00875,0.00850339338213928,0,1,4
"FluSight-baseline",2026-02-28,1,1,0.00586547138561275,0.00571506984188134,1,1,0.01,0.00974918525289008,0,1,4
"FluSight-baseline",2026-03-07,1,1,0.00393182253856124,0.00384884086482332,1,1,0.00675,0.0066147859796434,0.25,1,4
"FluSight-baseline",2026-03-14,1,1,0.00526541422391613,0.00516358611544448,1,1,0.009125,0.00895536067674756,0,1,4
"FluSight-baseline",2026-03-21,1,1,0.00409181471246666,0.00402690277385305,1,1,0.007175,0.00706877841068999,0,1,4
"FluSight-baseline",2026-03-28,1,1,0.00326019666219486,0.00321822155265265,1,1,0.00567499999999998,0.00560996336672412,0,1,4
"FluSight-baseline",2026-04-04,1,1,0.00333624774451221,0.00329971276419556,1,1,0.005875,0.00581898939936836,0,1,4
"FluSight-baseline",2026-04-11,1,1,0.00299323279785731,0.00296550284381368,1,1,0.0052,0.00516013811448083,0,1,4
"FluSight-baseline",2026-04-18,1,1,0.00218601201202282,0.00216888423115819,1,1,0.0035,0.00347975023119388,0.5,1,4
"FluSight-baseline",2026-04-25,1,1,0.00161051458828392,0.0015993738309501,1,1,0.00205,0.00204103788768267,1,1,4
"FluSight-baseline",2026-05-02,1,1,0.00130592205031832,0.00129758877188066,1,1,0.00112499999999998,0.00112113976472518,1,1,4
"FluSight-baseline",2026-05-09,1,1,0.00122117519205028,0.00121375684415121,1,1,0.000899999999999975,0.000897345472723435,1,1,4
"FluSight-baseline",2026-05-16,1,1,0.00119381880779351,0.00118692267191043,1,1,9e-04,0.000897703508975727,1,1,4
"FluSight-baseline",2026-05-23,1,1,0.00112597553313956,0.00111970503750261,1,1,0.000725,0.000723459607447901,1,1,4
"FluSight-baseline",2026-05-30,1,1,0.00107669734902239,0.0010709327157759,1,1,0.00064999999999995,0.000648849592774285,1,1,4
