"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",1,1,98.9886231560031,0.493468572258872,1,1,128.499386957367,0.670075232446561,0.314882922643129,0.819357606963344,16320
"UMass-AR2",0.78126395308848,0.842883055687225,78.732391042114,0.397459478319921,0.85126667448121,0.899140581716606,111.358489129797,0.591448721811342,0.441709111488398,0.85153744576495,10608
"UMass-AR6_fourierP_thetaP",0.676809943906357,0.714073674647467,68.4187517374912,0.340270764017552,0.729668777395846,0.760474718470518,95.806592735502,0.505979415078616,0.431333710620638,0.839275608375778,10608
"UMass-AR6_pooled",0.723822504604677,0.775566636670482,73.1088264343138,0.366011757379599,0.78390584519958,0.827651631371042,102.787386375965,0.545019326402569,0.449254857574043,0.854272778720996,10608
"UMass-chronos_small",1.04124128175379,1.10184484234422,105.623281647254,0.525416790817363,0.975892186812572,1.07897626965155,128.220517475835,0.716303962555048,0.231937370307489,0.555932842859838,10608
"UMass-flusion",0.654566540433671,0.65700739695619,65.7557500543936,0.309590138216241,0.721823061140517,0.713806586396762,94.1104639490633,0.469181509875789,0.453405017921147,0.887568383323901,10608
"UMass-flusion_spatial2_prod",0.640269877876805,0.591952621432242,64.1567310024917,0.278726465364694,0.713699335342649,0.642838257133528,92.6967504203046,0.421850868110703,0.385964912280702,0.886059234106772,10608
"UMass-flusion_spatial_mem",0.67987077438042,0.622105993574613,110.14386169733,0.321206379591827,0.764274043611758,0.684391814954243,157.115649305626,0.478862802083283,0.283674339300938,0.810528559249787,4692
"UMass-gbqr",0.765509304984212,0.781169500481547,77.4551397203004,0.373529211105328,0.831997706118993,0.810773187283021,109.204592373423,0.540450323142328,0.264855687606112,0.719109601961894,10608
"UMass-gbqr_3src_spatial",0.637548834057197,0.591702475506882,63.895848742634,0.278600884500979,0.71111451913475,0.642901448101748,92.3894597487025,0.421875071286648,0.388983210714959,0.886813808715337,10608
"UMass-trends_ensemble",0.870309333254531,0.896522790462676,88.0384799012491,0.424517467884668,0.901080332886501,0.861450113016602,118.022071307301,0.569828772762007,0.365685719675533,0.649971703452179,10608
