"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2",0,1,1876.89608085578,1,2569.01488641588,0.381818181818182,0.818181818181818,55
"UMass-AR2",1,1,3309.6884424219,1,4495.03614162484,0.472727272727273,0.781818181818182,55
"UMass-AR2",2,1,4201.75528465955,1,5688.15589011191,0.454545454545455,0.836363636363636,55
"UMass-AR2",3,1,4320.54337723262,1,5988.40067652086,0.480769230769231,0.865384615384615,52
"UMass-AR4_pooled",0,0.98413726220779,1847.51481427822,0.984430477865915,2531.08175044298,0.454545454545455,0.8,55
"UMass-AR4_pooled",1,0.946465592104272,3118.47051982125,0.894406352329057,4006.04102036271,0.418181818181818,0.781818181818182,55
"UMass-AR4_pooled",2,0.957958700706321,4010.72316188624,0.923098232158139,5230.26159517085,0.436363636363636,0.763636363636364,55
"UMass-AR4_pooled",3,1.03182162119762,4444.74460431366,1.0103023864305,6027.81455695177,0.365384615384615,0.826923076923077,52
"UMass-AR6_fourierP_thetaP",0,0.980530065886288,1839.41811807827,1.00963224066401,2593.36860191456,0.345454545454545,0.836363636363636,55
"UMass-AR6_fourierP_thetaP",1,0.888630052475438,2925.01019769844,0.842543999316865,3770.10135563315,0.436363636363636,0.781818181818182,55
"UMass-AR6_fourierP_thetaP",2,0.861770483681613,3607.06876075138,0.809968799704178,4590.09568342182,0.4,0.745454545454545,55
"UMass-AR6_fourierP_thetaP",3,0.892928727290355,3850.36555444513,0.856613572994163,5118.58606687614,0.403846153846154,0.673076923076923,52
"UMass-AR6_fourier_d1_pooled",0,0.969751447129142,1820.10924897517,0.948814250808129,2439.523707438,0.472727272727273,0.8,55
"UMass-AR6_fourier_d1_pooled",1,0.997656093729036,3283.77502328125,0.972413531391829,4350.27034523618,0.4,0.745454545454545,55
"UMass-AR6_fourier_d1_pooled",2,1.0629671014329,4436.71919669335,1.06581247480566,6021.37514115856,0.254545454545455,0.745454545454545,55
"UMass-AR6_fourier_d1_pooled",3,1.17465118622737,5038.24835716721,1.16053889245702,6895.7867599838,0.230769230769231,0.730769230769231,52
"UMass-AR6_fourier_pooled_both",0,0.897549434127957,1684.22391671401,0.975705022559641,2508.68089281518,0.654545454545455,0.963636363636364,55
"UMass-AR6_fourier_pooled_both",1,0.822541844532341,2705.85396434787,0.85172810257239,3809.14088671873,0.6,0.872727272727273,55
"UMass-AR6_fourier_pooled_both",2,0.818032346380753,3420.38312707451,0.848150236504115,4805.26403947557,0.563636363636364,0.890909090909091,55
"UMass-AR6_fourier_pooled_both",3,0.889382929315834,3825.96075709416,0.943850153374647,5636.72405538859,0.538461538461538,0.903846153846154,52
"UMass-AR6_pooled",0,0.959701941619515,1802.05874730106,0.976834932019725,2511.33935733404,0.418181818181818,0.818181818181818,55
"UMass-AR6_pooled",1,0.908310993455648,2991.92970796641,0.880240755874375,3940.29756852372,0.381818181818182,0.781818181818182,55
"UMass-AR6_pooled",2,0.917869007915509,3841.44997980203,0.883266807166962,5003.71473152958,0.4,0.763636363636364,55
"UMass-AR6_pooled",3,0.978873159522679,4215.23586504932,0.941826557127727,5619.57969790232,0.384615384615385,0.788461538461538,52
"UMass-AR6_pooled_both",0,0.89209059324977,1674.53807041563,0.953453726227531,2452.16624726999,0.654545454545455,0.945454545454545,55
"UMass-AR6_pooled_both",1,0.828032310300831,2724.64964071053,0.873091899236605,3904.00208830825,0.6,0.890909090909091,55
"UMass-AR6_pooled_both",2,0.831940062151056,3478.02483599134,0.873843647224631,4947.10991334111,0.545454545454545,0.890909090909091,55
"UMass-AR6_pooled_both",3,0.913379339053951,3926.33438486269,0.960284551922509,5730.73919160499,0.576923076923077,0.865384615384615,52
"UMass-AR6_pooled_fourier",0,0.956507089835881,1794.8277545899,0.985417049184198,2531.87113240464,0.436363636363636,0.818181818181818,55
"UMass-AR6_pooled_fourier",1,0.883747905453291,2909.86581524515,0.848179662223535,3796.74829098898,0.381818181818182,0.8,55
"UMass-AR6_pooled_fourier",2,0.870415620698722,3643.5022565995,0.835546791526419,4734.90127875115,0.418181818181818,0.781818181818182,55
"UMass-AR6_pooled_fourier",3,0.911353825030353,3927.17198938027,0.881064284880413,5261.08913731022,0.384615384615385,0.788461538461538,52
"UMass-AR6_pooled_sigma",0,0.834059379470979,1562.64694795032,0.955623675079063,2454.15539987963,0.618181818181818,0.981818181818182,55
"UMass-AR6_pooled_sigma",1,0.819678402513267,2698.69479036167,0.924643998149144,4144.17305147758,0.672727272727273,0.963636363636364,55
"UMass-AR6_pooled_sigma",2,0.83281975112047,3476.46502939506,0.961679268019018,5448.1929133064,0.618181818181818,0.963636363636364,55
"UMass-AR6_pooled_sigma",3,0.904961156022411,3879.24613371125,0.996387523437044,5938.8226874937,0.634615384615385,0.961538461538462,52
"UMass-AR6_unpooled",0,0.97258281580841,1825.09405535867,1.00645938050481,2585.44050744567,0.309090909090909,0.8,55
"UMass-AR6_unpooled",1,0.94207436153906,3112.5424463501,0.972072162553108,4363.51927293828,0.4,0.8,55
"UMass-AR6_unpooled",2,0.949455184184714,3979.2457977513,1.00037863184319,5676.0703330207,0.363636363636364,0.818181818181818,55
"UMass-AR6_unpooled",3,0.969671540194551,4178.87567364667,1.01141813961461,6043.50845937473,0.423076923076923,0.826923076923077,52
"UMass-flusion",0,0.820621039653808,1542.19279383859,0.884864863001681,2277.90364964183,0.381818181818182,0.890909090909091,55
"UMass-flusion",1,0.76665724360409,2528.90572443159,0.76589753182058,3431.78865898524,0.454545454545455,0.818181818181818,55
"UMass-flusion",2,0.780459636276538,3274.3745200248,0.790126028213078,4484.29212008378,0.418181818181818,0.763636363636364,55
"UMass-flusion",3,0.878274179620595,3791.05975595171,0.897218002388851,5366.67951272408,0.403846153846154,0.788461538461538,52
"UMass-flusion3",0,0.859341411527695,1614.45770663924,0.903936056218098,2326.34653164763,0.363636363636364,0.890909090909091,55
"UMass-flusion3",1,0.808350536090212,2665.83889665753,0.798148410023942,3575.85636147674,0.454545454545455,0.818181818181818,55
"UMass-flusion3",2,0.817365746344752,3428.05080421167,0.802052298514892,4549.58721811101,0.436363636363636,0.763636363636364,55
"UMass-flusion3",3,0.906848707996197,3913.02384538955,0.909314813690978,5434.77222277399,0.365384615384615,0.788461538461538,52
"UMass-flusion3_weighted",0,0.836992211611778,1571.60101844564,0.921787058524266,2371.70004881777,0.4,0.927272727272727,55
"UMass-flusion3_weighted",1,0.788537220869294,2600.27961077408,0.824745733369373,3694.37649600633,0.418181818181818,0.872727272727273,55
"UMass-flusion3_weighted",2,0.808585984059337,3390.53153797953,0.833583044984572,4725.08058947881,0.472727272727273,0.854545454545454,55
"UMass-flusion3_weighted",3,0.89869802489671,3877.49002072909,0.934552052641249,5583.50679653636,0.365384615384615,0.865384615384615,52
"UMass-flusion_fourier",0,0.820385112205491,1541.46822338933,0.881534691311602,2269.41203442573,0.381818181818182,0.890909090909091,55
"UMass-flusion_fourier",1,0.771437667501214,2544.84122666973,0.777654064235436,3484.82565972783,0.454545454545455,0.836363636363636,55
"UMass-flusion_fourier",2,0.786071591520432,3298.1667093027,0.792718840731696,4497.90143803622,0.418181818181818,0.763636363636364,55
"UMass-flusion_fourier",3,0.889014058487481,3837.07646563137,0.902348127353149,5395.75872431716,0.403846153846154,0.788461538461538,52
"UMass-flusion_spatial",0,0.806598167654897,1394.52311501606,0.859754085662753,2020.98144468555,0.411764705882353,0.92156862745098,51
"UMass-flusion_spatial",1,0.757546816533507,2137.1807098511,0.763035498865213,2968.59514860583,0.490196078431373,0.843137254901961,51
"UMass-flusion_spatial",2,0.753666298975034,2340.96530929549,0.77389043173445,3418.51189044254,0.431372549019608,0.803921568627451,51
"UMass-flusion_spatial",3,0.847745214841331,2649.09611091097,0.877700911220833,3980.80765428262,0.4375,0.833333333333333,48
"UMass-gbqr",0,1.07656412202384,2021.85837969203,1.20968920560769,3110.56197245142,0.2,0.854545454545454,55
"UMass-gbqr",1,0.898283100665917,2956.59583858918,0.937311751349907,4194.94509861056,0.254545454545455,0.745454545454545,55
"UMass-gbqr",2,0.953482502975468,3979.22034431205,0.98885041120049,5592.19257792254,0.163636363636364,0.709090909090909,55
"UMass-gbqr",3,1.10227173086739,4732.60723796622,1.11997635031283,6669.68700930984,0.230769230769231,0.576923076923077,52
