"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",2026-05-02,1,1,0.000798049178121559,0.000792728289682744,1,1,0.000822,0.000817529432882552,0.78,1,50
"FluSight-baseline",2026-05-09,1,1,0.00104668630335429,0.00103958530393539,1,1,0.000946999999999998,0.000942943213461245,0.88,1,100
"FluSight-baseline",2026-05-16,1,1,0.00129009579627988,0.00128056135401238,1,1,0.001162,0.00115614910327503,0.906666666666667,1,150
"FluSight-baseline",2026-05-23,1,1,0.00143969359795026,0.00142883222613953,1,1,0.00126149999999999,0.00125635897403181,0.96,1,200
"FluSight-baseline",2026-05-30,1,1,0.00133298628951289,0.00132322759814366,1,1,0.000983499999999995,0.000979822481813159,0.985,1,200
"FluSight-baseline",2026-06-06,1,1,0.00154257227238437,0.00153122177853866,1,1,0.00114933343333433,0.00114492868754782,0.986666666666667,1,150
"FluSight-baseline",2026-06-13,1,1,0.00170691568293727,0.00169417836331635,1,1,0.00122300059750597,0.0012184682150906,0.98,1,100
"FluSight-baseline",2026-06-20,1,1,0.00184390000738111,0.00182962282714775,1,1,0.00124400099500995,0.00123902702913044,0.98,1,50
