"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2",2023-10-21,1,260.362789703937,1,231.846023134748,1,1,4
"UMass-AR2",2023-10-28,1,304.414014812189,1,345.561211837857,1,1,4
"UMass-AR2",2023-11-04,1,556.344801531878,1,1085.70352497938,0.25,1,4
"UMass-AR2",2023-11-11,1,665.637701961172,1,1287.26217282707,0,1,4
"UMass-AR2",2023-11-18,1,648.366148137755,1,1165.44045300583,0.75,1,4
"UMass-AR2",2023-11-25,1,1318.0256144396,1,2382.5014281878,0.25,1,4
"UMass-AR2",2023-12-02,1,2864.82825816489,1,4475.53773586169,0,0.75,4
"UMass-AR2",2023-12-09,1,3949.73993708186,1,6017.55650359838,0.25,0.75,4
"UMass-AR2",2023-12-16,1,6083.88418938437,1,8451.97957011717,0,0.25,4
"UMass-AR2",2023-12-23,1,3360.74352054728,1,5094.95962134491,0.25,0.5,4
"UMass-AR2",2023-12-30,1,3706.33927797239,1,6530.28883980309,0,1,4
"UMass-AR2",2024-01-06,1,7944.89294169877,1,12164.8483463843,0,0.25,4
"UMass-AR2",2024-01-13,1,956.030381572677,1,1182.87892541754,1,1,4
"UMass-AR2",2024-01-20,1,1748.16053212008,1,3293.26645427191,0.25,1,4
"UMass-AR2",2024-01-27,1,2251.24673442357,1,3982.98845948647,0,1,4
"UMass-AR2",2024-02-03,1,897.639096061097,1,1500.73602715096,1,1,4
"UMass-AR2",2024-02-10,1,1447.64345209848,1,2755.36251382282,0,1,4
"UMass-AR2",2024-02-17,1,812.224462835708,1,1235.16941280428,1,1,4
"UMass-AR2",2024-02-24,1,756.52400700477,1,975.129666385646,0.75,1,4
"UMass-AR2",2024-03-02,1,857.123975143698,1,1045.770433012,0.75,1,4
"UMass-AR2",2024-03-09,1,1180.60365399651,1,2105.76157107961,0.25,1,4
"UMass-AR2",2024-03-16,1,573.030073612306,1,738.646804712104,1,1,4
"UMass-AR2",2024-03-23,1,426.552052364534,1,374.988036954793,1,1,4
"UMass-AR2",2024-03-30,1,460.340915608338,1,575.321160269033,0.75,1,4
"UMass-AR2",2024-04-06,1,656.770122391861,1,1107.72875472761,0.5,1,4
"UMass-AR2",2024-04-13,1,868.692167635003,1,1546.61719631108,0.25,1,4
"UMass-AR2",2024-04-20,1,639.324558523679,1,1141.88145165327,0.25,1,4
"UMass-AR2",2024-04-27,1,417.340801742871,1,710.918931786863,0.5,1,4
"UMass-AR2",2024-05-04,1,711.971036789852,1,1245.88876539395,0,1,4
"UMass-AR2",2024-05-11,1,826.740633150259,1,1447.47293502477,0,1,3
"UMass-AR4_pooled",2023-10-21,0.835954111804853,217.651344613988,0.653978728089577,151.622367322289,1,1,4
"UMass-AR4_pooled",2023-10-28,0.89243021902801,271.668265914037,1.05024514710735,362.923985761246,1,1,4
"UMass-AR4_pooled",2023-11-04,0.863666449428139,480.49633939684,0.835448950853849,907.049870882346,0.25,1,4
"UMass-AR4_pooled",2023-11-11,1.15325271777742,767.648488841834,1.0910086383049,1404.41415031746,0,1,4
"UMass-AR4_pooled",2023-11-18,1.35460867738165,878.28241038792,1.35430300481789,1578.35950744211,0.5,1,4
"UMass-AR4_pooled",2023-11-25,1.15724267190241,1525.27548368989,1.05371509096236,2510.47770912087,0.25,1,4
"UMass-AR4_pooled",2023-12-02,1.18440512856838,3393.11728143812,1.04452070475313,4674.79183001146,0,0.5,4
"UMass-AR4_pooled",2023-12-09,1.37953786338403,5448.81579372447,1.15720239573845,6963.53080245553,0,0.25,4
"UMass-AR4_pooled",2023-12-16,1.16396611163273,7081.43502354158,1.04510448827377,8833.20178352762,0,0,4
"UMass-AR4_pooled",2023-12-23,1.55738808323332,5233.98190970393,1.41313010472873,7199.8408232998,0,0.25,4
"UMass-AR4_pooled",2023-12-30,0.518765937903199,1922.72257172481,0.476881978468589,3114.17706189665,0.5,0.75,4
"UMass-AR4_pooled",2024-01-06,0.685341418076583,5444.96419513047,0.693392359545725,8435.01289841531,0,0.5,4
"UMass-AR4_pooled",2024-01-13,1.97627617891198,1889.38006941821,2.69672467705759,3189.89878814484,0.25,1,4
"UMass-AR4_pooled",2024-01-20,0.752060773161893,1314.72296139733,0.699279336362826,2302.91318060922,0.25,1,4
"UMass-AR4_pooled",2024-01-27,1.20871783617116,2721.12208151985,1.09759013990091,4371.68886047145,0,1,4
"UMass-AR4_pooled",2024-02-03,1.77306890009274,1591.57596473329,1.94829920991381,2923.88281598741,0,1,4
"UMass-AR4_pooled",2024-02-10,1.07340437180916,1553.90681030342,1.036129873388,2854.91341258528,0,1,4
"UMass-AR4_pooled",2024-02-17,1.23401076583571,1002.29373141439,1.54346271566935,1906.43793619861,0.25,1,4
"UMass-AR4_pooled",2024-02-24,1.0074254808915,762.141561562745,1.14211634963494,1113.71153499311,0.5,1,4
"UMass-AR4_pooled",2024-03-02,0.871081531730513,746.624865151118,0.98399225181886,1029.03000326506,0.75,1,4
"UMass-AR4_pooled",2024-03-09,0.793342698222779,936.623288393261,0.773318007595857,1628.4233426192,0.25,1,4
"UMass-AR4_pooled",2024-03-16,1.25030079372977,716.459955868494,1.70511341480881,1259.47657552027,0.5,1,4
"UMass-AR4_pooled",2024-03-23,0.898292181198886,383.168373513399,0.605835695894414,227.181138320587,1,1,4
"UMass-AR4_pooled",2024-03-30,0.900680513192075,414.620092113427,0.959044427770602,551.758552934533,1,1,4
"UMass-AR4_pooled",2024-04-06,0.85759430558722,563.242317043082,0.860042916570448,952.694268984881,0.5,1,4
"UMass-AR4_pooled",2024-04-13,1.07423908181908,933.183076543653,1.04537461942396,1616.79436298825,0.25,1,4
"UMass-AR4_pooled",2024-04-20,1.46575082207244,937.090497227181,1.39730682041844,1595.55874050443,0,1,4
"UMass-AR4_pooled",2024-04-27,1.55321268846738,648.219028682176,1.54366413733078,1097.42005954889,0.25,1,4
"UMass-AR4_pooled",2024-05-04,1.04571061219526,744.51566874681,1.01959198204652,1270.29819571751,0,1,4
"UMass-AR4_pooled",2024-05-11,1.05453537328751,871.827242191057,1.02020644170499,1476.7212125059,0,1,3
"UMass-AR6_pooled",2023-10-21,0.767258365883847,199.765528565202,0.644822499673804,149.499532177179,1,1,4
"UMass-AR6_pooled",2023-10-28,0.825907224650549,251.417734118266,0.981426734231437,339.143011611086,1,1,4
"UMass-AR6_pooled",2023-11-04,0.849004906692838,472.339466313617,0.813741722886537,883.482256960704,0.25,1,4
"UMass-AR6_pooled",2023-11-11,1.16462010795658,775.215052317988,1.07906559082335,1389.04031706618,0,1,4
"UMass-AR6_pooled",2023-11-18,1.39165808323235,902.303990950129,1.3603528490939,1585.41024069577,0.25,1,4
"UMass-AR6_pooled",2023-11-25,1.20346602032253,1586.19904089278,1.05773646777435,2520.05864511872,0,0.75,4
"UMass-AR6_pooled",2023-12-02,1.18303939516248,3389.20468978376,1.01959099025353,4563.21795202427,0,0.5,4
"UMass-AR6_pooled",2023-12-09,1.37755577621273,5440.98706486523,1.13550380400678,6832.95830066167,0,0.25,4
"UMass-AR6_pooled",2023-12-16,1.1652073319698,7088.98646432581,1.02785637157637,8687.42105357823,0,0,4
"UMass-AR6_pooled",2023-12-23,1.58601625977817,5330.19386853212,1.3981961380265,7123.75286596541,0,0.25,4
"UMass-AR6_pooled",2023-12-30,0.543153229761426,2013.11014942234,0.50177124829282,3276.71118286067,0.5,0.75,4
"UMass-AR6_pooled",2024-01-06,0.705546870454426,5605.49435111103,0.693809211579129,8440.08384018455,0,0.25,4
"UMass-AR6_pooled",2024-01-13,2.60420398494244,2489.69812941761,3.58560943306703,4241.34183315331,0,1,4
"UMass-AR6_pooled",2024-01-20,0.485362647210661,848.491823618997,0.414376064200499,1364.65079168473,0.75,1,4
"UMass-AR6_pooled",2024-01-27,1.00425494936877,2260.82567529516,0.945687573105109,3766.66268995741,0,1,4
"UMass-AR6_pooled",2024-02-03,2.10657772473035,1890.94652460939,2.17796145003891,3268.54521381934,0,1,4
"UMass-AR6_pooled",2024-02-10,1.42935674599443,2069.19893405163,1.27305089386964,3507.71671115704,0,1,4
"UMass-AR6_pooled",2024-02-17,1.56649691645264,1272.34711649954,1.93713365536883,2392.68823962532,0,1,4
"UMass-AR6_pooled",2024-02-24,1.05948241360165,801.523880889008,1.29210347140846,1259.96842701027,0.5,1,4
"UMass-AR6_pooled",2024-03-02,0.871710442937887,747.163920025196,0.953223206811386,996.852645744227,0.5,1,4
"UMass-AR6_pooled",2024-03-09,0.741395803848337,875.294595081025,0.710137014085597,1495.37923446267,0.25,1,4
"UMass-AR6_pooled",2024-03-16,1.20540116003088,690.731115464855,1.65838162362692,1224.9582872853,0.5,1,4
"UMass-AR6_pooled",2024-03-23,0.855941684447845,365.103682205585,0.653087482108331,244.899992875551,1,1,4
"UMass-AR6_pooled",2024-03-30,0.822323015178916,378.548929733271,0.85147735091025,489.872937468487,1,1,4
"UMass-AR6_pooled",2024-04-06,0.735707175112948,483.190491443502,0.718194866848176,795.565105505489,0.5,1,4
"UMass-AR6_pooled",2024-04-13,0.907537880872956,788.371048946405,0.886054953254269,1370.38782757966,0.25,1,4
"UMass-AR6_pooled",2024-04-20,1.32574123544228,847.578930065774,1.26462916019948,1444.05658125164,0,1,4
"UMass-AR6_pooled",2024-04-27,1.5226781397632,635.475715645117,1.50078141940075,1066.93392352595,0.25,1,4
"UMass-AR6_pooled",2024-05-04,1.01083389616942,719.684457078067,0.977206480760163,1217.49057584925,0,1,4
"UMass-AR6_pooled",2024-05-11,1.00594114029218,831.652415237052,0.965324530038868,1397.28113074677,0,1,3
"UMass-AR6_pooled_fourier",2023-10-21,0.776588972575688,202.19487135312,0.617288348218502,143.115848661877,1,1,4
"UMass-AR6_pooled_fourier",2023-10-28,0.796281628327862,242.399287400472,0.90021738652838,311.080211006256,1,1,4
"UMass-AR6_pooled_fourier",2023-11-04,0.813345445681188,452.500510554357,0.772788225005141,839.018899950637,0.25,1,4
"UMass-AR6_pooled_fourier",2023-11-11,1.07037534982313,712.482188092152,1.00765435870614,1297.11533924673,0,1,4
"UMass-AR6_pooled_fourier",2023-11-18,1.23266837579256,799.220446743846,1.22406523334316,1426.57514005613,0.5,1,4
"UMass-AR6_pooled_fourier",2023-11-25,1.05932777562642,1396.22114236295,0.967908786980629,2306.04406733687,0.25,1,4
"UMass-AR6_pooled_fourier",2023-12-02,1.09138079450423,3126.61854051416,0.964912954611775,4318.5043401868,0,0.5,4
"UMass-AR6_pooled_fourier",2023-12-09,1.21775807795765,4809.82771421336,1.03992594175335,6257.81311405852,0,0.5,4
"UMass-AR6_pooled_fourier",2023-12-16,1.06617121724005,6486.46221174342,0.96562382633143,8161.43285257161,0,0.25,4
"UMass-AR6_pooled_fourier",2023-12-23,1.38072441992403,4640.26064792107,1.24960796810674,6366.70214001472,0,0.25,4
"UMass-AR6_pooled_fourier",2023-12-30,0.572822648695514,2123.07508217236,0.538911146788435,3519.245447518,0.25,0.75,4
"UMass-AR6_pooled_fourier",2024-01-06,0.751808424690489,5973.03744683313,0.721581052733035,8777.92407612169,0,0.25,4
