"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",2025-11-22,1,1,0.00191510279565218,0.0018957670341914,1,1,0.002854,0.00282610361908312,0.18,1,50
"FluSight-baseline",2025-11-29,1,1,0.00389256209145356,0.00384083901159491,1,1,0.006034,0.00595925654219063,0.17,0.95,100
"FluSight-baseline",2025-12-06,1,1,0.00435829344467177,0.004290011768997,1,1,0.00695533333333333,0.00685578567062488,0.18,0.946666666666667,150
"FluSight-baseline",2025-12-13,1,1,0.0109044390663419,0.0106532926171032,1,1,0.0164169996099961,0.0160763323065731,0.025,0.805,200
"FluSight-baseline",2025-12-20,1,1,0.0284215535795187,0.0273136123977385,1,1,0.0361165,0.0348299766569685,0,0.275,200
"FluSight-baseline",2025-12-27,1,1,0.0503935588650345,0.0475732669217458,1,1,0.0586439998912489,0.0555623681506878,0,0.07,200
"FluSight-baseline",2026-01-03,1,1,0.0256847070683381,0.0244148560453854,1,1,0.032897498896239,0.031340753102322,0.03,0.42,200
"FluSight-baseline",2026-01-10,1,1,0.0174655911196491,0.0165542551683346,1,1,0.0234534999774998,0.0222416376041999,0.1,0.605,200
"FluSight-baseline",2026-01-17,1,1,0.0200044772460881,0.0189845905797738,1,1,0.026297,0.0249349888741111,0.095,0.6,200
"FluSight-baseline",2026-01-24,1,1,0.0180135952298971,0.0171200874160541,1,1,0.0239734997512475,0.0227553461671899,0.08,0.69,200
"FluSight-baseline",2026-01-31,1,1,0.0119025180374316,0.0114183546769412,1,1,0.016883,0.0161854215476455,0.175,0.83,200
"FluSight-baseline",2026-02-07,1,1,0.00761070368515567,0.00734675397939877,1,1,0.011725,0.0113215856847568,0.225,0.94,200
"FluSight-baseline",2026-02-14,1,1,0.00543156228764497,0.00523394749103541,1,1,0.008279,0.0079823720523653,0.38,0.98,200
"FluSight-baseline",2026-02-21,1,1,0.00411930592834208,0.00397913512828128,1,1,0.0060705,0.00586342528512265,0.445,0.995,200
"FluSight-baseline",2026-02-28,1,1,0.00512338934811084,0.0049535935569243,1,1,0.007563,0.00731121947672965,0.425,0.97,200
"FluSight-baseline",2026-03-07,1,1,0.00513586166204393,0.00497772553711436,1,1,0.007754,0.00751426417459737,0.405,0.98,200
"FluSight-baseline",2026-03-14,1,1,0.00582968829868963,0.00566860863918933,1,1,0.0087835,0.00854169497034202,0.385,0.975,200
"FluSight-baseline",2026-03-21,1,1,0.00573940502696536,0.00560424587838084,1,1,0.00914299971874719,0.00893118421027819,0.25,0.99,200
"FluSight-baseline",2026-03-28,1,1,0.00482070004232671,0.00472333230191674,1,1,0.007849,0.00769639659149652,0.255,1,200
"FluSight-baseline",2026-04-04,1,1,0.00447287196741201,0.00439336068563225,1,1,0.0072065,0.00708483172048234,0.34,0.995,200
"FluSight-baseline",2026-04-11,1,1,0.00411258375139191,0.00405249608277418,1,1,0.0066585,0.006569819394183,0.355,1,200
"FluSight-baseline",2026-04-18,1,1,0.00374019141762235,0.00369455310658823,1,1,0.006224,0.00615844804610187,0.335,1,200
"FluSight-baseline",2026-04-25,1,1,0.00327553842656813,0.00324139002741201,1,1,0.0053055,0.00526018816243983,0.495,1,200
"FluSight-baseline",2026-05-02,1,1,0.0025195169392128,0.00249559365210682,1,1,0.0037865,0.0037590053756022,0.715,1,200
"FluSight-baseline",2026-05-09,1,1,0.00193144158263796,0.0019150093845244,1,1,0.00244499999999999,0.0024311912887316,0.87,1,200
"FluSight-baseline",2026-05-16,1,1,0.00162894000724341,0.00161581672098528,1,1,0.00169849999999999,0.00168975056141185,0.91,1,200
"FluSight-baseline",2026-05-23,1,1,0.00143969359795026,0.00142883222613953,1,1,0.00126149999999999,0.00125635897403181,0.96,1,200
"FluSight-baseline",2026-05-30,1,1,0.00133298628951289,0.00132322759814366,1,1,0.000983499999999995,0.000979822481813159,0.985,1,200
"FluSight-baseline",2026-06-06,1,1,0.00154257227238437,0.00153122177853866,1,1,0.00114933343333433,0.00114492868754782,0.986666666666667,1,150
"FluSight-baseline",2026-06-13,1,1,0.00170691568293727,0.00169417836331635,1,1,0.00122300059750597,0.0012184682150906,0.98,1,100
"FluSight-baseline",2026-06-20,1,1,0.00184390000738111,0.00182962282714775,1,1,0.00124400099500995,0.00123902702913044,0.98,1,50
