"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",2025-11-22,1,1,904.341304347826,0.42608645967388,1,1,1410,0.500454200120141,0,1,1
"FluSight-baseline",2025-11-29,1,1,1506.8797826087,0.522764107373139,1,1,2504,0.673656643464663,0,1,2
"FluSight-baseline",2025-12-06,1,1,2451.57710144928,0.672769676278738,1,1,4108.33333333333,0.847343649595275,0,1,3
"FluSight-baseline",2025-12-13,1,1,4326.7775,0.842550960451548,1,1,6960,1.06391987523439,0,1,4
"FluSight-baseline",2025-12-20,1,1,11682.390326087,1.09043522567575,1,1,15053.25,1.33051800646341,0,0,4
"FluSight-baseline",2025-12-27,1,1,24394.9756521739,1.26662909444824,1,1,27741.75,1.47435112901136,0,0,4
"FluSight-baseline",2026-01-03,1,1,22186.9643478261,0.936289755900334,1,1,25540.75,1.1031482953502,0,0,4
"FluSight-baseline",2026-01-10,1,1,8218.13619565217,0.376935636977433,1,1,11111.5,0.499439658793362,0,0.25,4
"FluSight-baseline",2026-01-17,1,1,7965.49163043478,0.312070020962724,1,1,10341.5,0.394906880599125,0.25,0.5,4
"FluSight-baseline",2026-01-24,1,1,9340.24880434783,0.394968287628648,1,1,12365,0.506962763401195,0,0.5,4
"FluSight-baseline",2026-01-31,1,1,7057.56032608696,0.319088567661966,1,1,9538.5,0.420914280872385,0,0.75,4
"FluSight-baseline",2026-02-07,1,1,2605.04326086957,0.14401184535872,1,1,4047,0.21624217474542,0.25,1,4
"FluSight-baseline",2026-02-14,1,1,1440.17836956522,0.102557090579427,1,1,2009.75,0.131020673170049,0.25,1,4
"FluSight-baseline",2026-02-21,1,1,898.015760869565,0.0769475619061978,1,1,749.75,0.052469017994667,0.75,1,4
"FluSight-baseline",2026-02-28,1,1,1657.35956521739,0.138770102956567,1,1,2703.5,0.216248020104962,0.25,1,4
"FluSight-baseline",2026-03-07,1,1,1894.53826086957,0.176799230560797,1,1,3217,0.280794453825844,0,1,4
"FluSight-baseline",2026-03-14,1,1,2138.88347826087,0.231764616639369,1,1,3670.25,0.3682700672401,0,1,4
"FluSight-baseline",2026-03-21,1,1,2156.18369565217,0.289652847098811,1,1,3703.25,0.449280366940849,0,1,4
"FluSight-baseline",2026-03-28,1,1,2641.17869565217,0.536733133962394,1,1,4558.5,0.837942037296386,0,1,4
"FluSight-baseline",2026-04-04,1,1,1837.56293478261,0.451780344839798,1,1,3136.75,0.655570189257775,0.25,1,4
"FluSight-baseline",2026-04-11,1,1,1363.1997826087,0.473693763197774,1,1,2251.25,0.605594678476937,0.5,1,4
"FluSight-baseline",2026-04-18,1,1,920.689782608696,0.494842345289222,1,1,1269.25,0.430493769631287,0.75,1,4
"FluSight-baseline",2026-04-25,1,1,646.950326086957,0.538996326345789,1,1,477.5,0.216125905829299,1,1,4
"FluSight-baseline",2026-05-02,1,1,588.16652173913,0.578334799907325,1,1,303.25,0.154421314153114,1,1,4
"FluSight-baseline",2026-05-09,1,1,549.272826086957,0.629736012244691,1,1,186,0.11563671260362,1,1,4
"FluSight-baseline",2026-05-16,1,1,542.029673913044,0.641434816093031,1,1,223,0.154683760818148,1,1,4
"FluSight-baseline",2026-05-23,1,1,530.110869565217,0.645331601904936,1,1,200,0.146084774263261,1,1,4
"FluSight-baseline",2026-05-30,1,1,524.133913043478,0.66185748656613,1,1,234.25,0.189719519494258,1,1,4
"FluSight-baseline",2026-06-06,1,1,603.466666666667,0.821482642242625,1,1,182.333333333333,0.157516361373626,1,1,3
"FluSight-baseline",2026-06-13,1,1,683.596304347826,1.03038983833971,1,1,271.5,0.271793442682881,1,1,2
"FluSight-baseline",2026-06-20,1,1,749.880434782609,1.15152552114373,1,1,306,0.329882426942158,1,1,1
