"model_id","location","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline","01",1,1,72.9485908385093,0.628373557776816,1,1,99,0.763275271359479,0.392857142857143,0.830357142857143,112
"FluSight-baseline","02",1,1,8.53281444099379,0.512782481316299,1,1,11.625,0.82046562434625,0.553571428571429,0.883928571428571,112
"FluSight-baseline","04",1,1,52.0182375776398,0.445747801112051,1,1,78.7321428571429,0.514942086264466,0.482142857142857,1,112
"FluSight-baseline","05",1,1,33.5320652173913,0.496774568354264,1,1,50.2053571428571,0.697063889527054,0.464285714285714,0.946428571428571,112
"FluSight-baseline","06",1,1,209.701700310559,0.408790016616617,1,1,317,0.451566518272087,0.366071428571429,0.973214285714286,112
"FluSight-baseline","08",1,1,94.4469836956522,0.511319762369364,1,1,116.8125,0.62536282425764,0.482142857142857,0.821428571428571,112
"FluSight-baseline","09",1,1,97.6965566770186,0.701287825972684,1,1,115.294642857143,0.844226783942881,0.535714285714286,0.741071428571429,112
"FluSight-baseline","10",1,1,25.6930163043478,0.608437719977311,1,1,33.5892857142857,0.856740209349001,0.383928571428571,0.848214285714286,112
"FluSight-baseline","11",1,1,10.5107104037267,0.548791657493577,1,1,14.9196428571429,0.885401621430038,0.5625,0.9375,112
"FluSight-baseline","12",1,1,332.766319875776,0.426641685319679,1,1,443.267857142857,0.447741076837399,0.348214285714286,0.75,112
"FluSight-baseline","13",1,1,161.311207298137,0.575050548348214,1,1,205.357142857143,0.693168362322054,0.366071428571429,0.848214285714286,112
"FluSight-baseline","15",1,1,11.906847826087,0.474455490828144,1,1,17.0714285714286,0.747513121931879,0.339285714285714,0.794642857142857,112
"FluSight-baseline","16",1,1,22.9304736024845,0.438873948126524,1,1,32.8482142857143,0.576014400441998,0.419642857142857,0.910714285714286,112
"FluSight-baseline","17",1,1,189.168260869565,0.564188859058242,1,1,244.366071428571,0.694837831336411,0.330357142857143,0.794642857142857,112
"FluSight-baseline","18",1,1,89.8021312111801,0.513684584587603,1,1,123.321428571429,0.606089918221021,0.473214285714286,0.892857142857143,112
"FluSight-baseline","19",1,1,37.5980784161491,0.524911706736885,1,1,50.5535714285714,0.773679632367864,0.446428571428571,0.901785714285714,112
"FluSight-baseline","20",1,1,36.6578416149068,0.532796673922618,1,1,50.0625,0.697790837520852,0.428571428571429,0.910714285714286,112
"FluSight-baseline","21",1,1,59.5313431677019,0.518204798101081,1,1,81.5089285714286,0.631745996935318,0.5,0.928571428571429,112
"FluSight-baseline","22",1,1,75.1489635093168,0.449355831289064,1,1,100.330357142857,0.516616254625679,0.375,0.839285714285714,112
"FluSight-baseline","23",1,1,24.0293633540373,0.503955469586553,1,1,31.125,0.686465360742646,0.401785714285714,0.848214285714286,112
"FluSight-baseline","24",1,1,88.0373330745342,0.620166145001102,1,1,110.517857142857,0.700096779790946,0.535714285714286,0.803571428571429,112
"FluSight-baseline","25",1,1,136.200904503106,0.654486103976689,1,1,168.589285714286,0.777748934577203,0.535714285714286,0.8125,112
"FluSight-baseline","26",1,1,127.142589285714,0.556531868025834,1,1,167.142857142857,0.660135828915854,0.473214285714286,0.848214285714286,112
