"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2","US",1,3304.27785667674,1,4519.83049587135,0.444933920704846,0.828193832599119,227
"UMass-AR6_pooled","US",0.934526020031524,3087.93363447841,0.909593473479751,4111.20832027932,0.392070484581498,0.79295154185022,227
"UMass-AR6_unpooled","US",0.95527774559545,3156.50310174712,0.995715325510543,4500.46449344902,0.370044052863436,0.81057268722467,227
