"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",2024-11-30,1,1,4107.775,0.662447191406613,1,1,5762.5,0.875759799350323,0,0.75,4
"FluSight-baseline",2024-12-07,1,1,9142.52739130435,0.923215014112315,1,1,11127.5,1.15701682816511,0,0.5,4
"FluSight-baseline",2024-12-14,1,1,15484.7694565217,1.03368452230311,1,1,17589.25,1.24036263296824,0,0.25,4
"FluSight-baseline",2024-12-21,1,1,18070.5992391304,0.964100460369559,1,1,20290.5,1.14560824963852,0,0,4
"FluSight-baseline",2024-12-28,1,1,18747.6167391304,0.83604428459235,1,1,20993,0.978744798121578,0,0,4
"FluSight-baseline",2025-01-04,1,1,8627.69684782609,0.269082317818621,1,1,11003.5,0.350492367307506,0,0.5,4
"FluSight-baseline",2025-01-11,1,1,5123.89380434783,0.125150083227517,1,1,7135,0.177188580329205,0,0.75,4
"FluSight-baseline",2025-01-18,1,1,13189.5482608696,0.327150406008467,1,1,16027,0.409966311743184,0,0.25,4
"FluSight-baseline",2025-02-01,1,1,10796.1323913043,0.244962278712008,1,1,13176.75,0.305211230018004,0,0.25,4
"FluSight-baseline",2025-02-08,1,1,5784.25434782609,0.135793568679169,1,1,8064,0.187637522955212,0.25,0.5,4
"FluSight-baseline",2025-02-15,1,1,10015.8451086957,0.269939038584272,1,1,12756.25,0.332699228396416,0,0.5,4
"FluSight-baseline",2025-02-22,1,1,9846.31782608696,0.323831316648326,1,1,12894,0.40778192849222,0,0.5,4
"FluSight-baseline",2025-03-01,1,1,9396.1622826087,0.383839060941647,1,1,12555,0.49088412028824,0,0.25,4
"FluSight-baseline",2025-03-08,1,1,8399.56130434783,0.437876652690413,1,1,11660.75,0.5799939191551,0,0.5,4
"FluSight-baseline",2025-03-15,1,1,6328.30510869565,0.441028544232263,1,1,9425.25,0.629957647894226,0,0.5,4
"FluSight-baseline",2025-03-22,1,1,5086.08532608696,0.463107471526751,1,1,8028.5,0.708398948501967,0,1,4
"FluSight-baseline",2025-03-29,1,1,3412.20108695652,0.421012893123668,1,1,5789.75,0.696937947463776,0,1,4
"FluSight-baseline",2025-04-05,1,1,2457.25532608696,0.414940051513877,1,1,4298.5,0.675699936675126,0,1,4
"FluSight-baseline",2025-04-12,1,1,1488.70119565217,0.411389214687017,1,1,2548,0.552452178084463,0,1,4
"FluSight-baseline",2025-04-19,1,1,930.311956521739,0.414513173713226,1,1,1266.25,0.378382435577194,1,1,4
"FluSight-baseline",2025-05-03,1,1,709.829782608696,0.518477692584553,1,1,647.25,0.279750317359484,1,1,4
"FluSight-baseline",2025-05-10,1,1,625.953043478261,0.551974340127672,1,1,329.75,0.161922057232971,1,1,4
"FluSight-baseline",2025-05-17,1,1,591.813260869565,0.620330155187268,1,1,207.25,0.114768199649679,1,1,4
