"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline",0,1,1,2179.0744302757,0.203677561104424,1,1,2770.7625,0.217110065727204,0.175,0.85,80
"FluSight-baseline",1,1,1,3728.51815458428,0.365623872140789,1,1,4832.425,0.409477710219942,0.2375,0.85,80
"FluSight-baseline",2,1,1,5188.34590150806,0.532454529389555,1,1,6790.65,0.600668730191016,0.2125,0.7375,80
"FluSight-baseline",3,1,1,6471.62484077956,0.687295947708681,1,1,8417.9375,0.773689238116733,0.25,0.7,80
"UMass-AR2",0,0.758950889355517,0.558235468973534,1750.11459219069,0.11286266008277,0.855286999924876,0.762669837383356,2474.12195076666,0.168473878570211,0.365384615384615,0.807692307692308,52
"UMass-AR2",1,0.759834431446243,0.515477869952858,2921.22732870122,0.198143495000028,0.841832466620518,0.658290660390474,4068.89054327985,0.288494400232543,0.5,0.826923076923077,52
"UMass-AR2",2,0.707774026053074,0.492511955141249,3775.14742636541,0.280683739558721,0.773192377202413,0.594827510930718,5210.81324474657,0.386881844415169,0.480769230769231,0.826923076923077,52
"UMass-AR2",3,0.651587152212216,0.484643395890392,4418.15774379458,0.362635822718267,0.722088518692646,0.589081547035551,6102.90067652086,0.498305892236878,0.480769230769231,0.865384615384615,52
"UMass-AR6_fourierP_thetaP",0,0.820814509548152,0.602320141719076,1897.53789857342,0.123156825825502,0.92348305914281,0.833089244621536,2679.35138705152,0.186521617673829,0.269230769230769,0.826923076923077,52
"UMass-AR6_fourierP_thetaP",1,0.713554161477034,0.521928856619019,2755.62099816303,0.203855054887756,0.747628144116729,0.652047808189284,3631.66698554438,0.290601546607121,0.442307692307692,0.807692307692308,52
"UMass-AR6_fourierP_thetaP",2,0.629462885281145,0.465564832732165,3373.09234495707,0.269838874745165,0.628648316774977,0.562008543494269,4272.05197946951,0.372053416647374,0.384615384615385,0.75,52
"UMass-AR6_fourierP_thetaP",3,0.593286227422791,0.432748990450192,4030.6718841808,0.3282473263845,0.625908162646075,0.524413807738042,5300.4322207223,0.448118346096128,0.403846153846154,0.673076923076923,52
"UMass-AR6_pooled",0,0.803852493586929,0.599538917239934,1860.3790188624,0.121901455428671,0.899178121581401,0.809350521117091,2611.78478622573,0.179944901000674,0.307692307692308,0.788461538461538,52
"UMass-AR6_pooled",1,0.733990293498975,0.531001968346507,2833.53780460361,0.205246415961467,0.758959241090982,0.65389645164599,3687.7271909653,0.28864145951183,0.384615384615385,0.788461538461538,52
"UMass-AR6_pooled",2,0.679863132583623,0.495521420918381,3637.47475455504,0.283852317148766,0.693034578098558,0.600284178049988,4687.54256522627,0.391712625782695,0.423076923076923,0.769230769230769,52
"UMass-AR6_pooled",3,0.640458033065274,0.480194478020037,4349.76147146322,0.360780290339546,0.680930846760516,0.599182476953921,5757.73354405616,0.507084798231363,0.403846153846154,0.788461538461538,52
"UMass-chronos_small",0,1.00475317301905,1.04106907574787,2345.53367094623,0.21187550036172,1.01802381619279,1.30503234806881,2976.30437704233,0.289437159090727,0.25,0.5,52
"UMass-chronos_small",1,0.880690316530581,0.794487667638645,3427.39928275508,0.307298010184501,0.887459162853353,0.970381169204447,4329.44891826923,0.424749378101996,0.173076923076923,0.519230769230769,52
"UMass-chronos_small",2,0.884196075044625,0.7153059744474,4749.99315359555,0.409015787980955,0.877191589894926,0.877608075123389,5931.86406590388,0.565247516993107,0.173076923076923,0.596153846153846,52
"UMass-chronos_small",3,0.894798780111871,0.679886982744329,6082.48646857348,0.509183080857007,0.886553255637045,0.840373978602472,7477.70179807223,0.701674929503497,0.173076923076923,0.576923076923077,52
"UMass-flusion",0,0.686850941006588,0.489593020395841,1582.14716209015,0.0990568570911211,0.801517412727534,0.679168255971298,2315.22355539227,0.150051861301855,0.307692307692308,0.884615384615385,52
"UMass-flusion",1,0.61168727011908,0.427315094067594,2347.50861391002,0.164414303890194,0.637496907388298,0.527145234442421,3077.15292884342,0.230872778492622,0.480769230769231,0.846153846153846,52
"UMass-flusion",2,0.575740961550796,0.402677701169487,3055.69439228068,0.229134196684162,0.610136955392333,0.501748125771481,4091.85890680795,0.323192543769365,0.461538461538462,0.788461538461538,52
"UMass-flusion",3,0.5839863679385,0.40154445623661,3927.88154802639,0.299016109075066,0.657530410749691,0.513187104036734,5501.06412810869,0.427490436388282,0.403846153846154,0.788461538461538,52
"UMass-flusion_spatial2_prod",0,0.637446370716782,0.47033237698679,1468.78500669659,0.0954624961962393,0.739119946805021,0.655700392327818,2133.7780212731,0.145567212665597,0.307692307692308,0.923076923076923,52
"UMass-flusion_spatial2_prod",1,0.569257598518063,0.409370097259354,2181.16021150008,0.157903307269409,0.613804500175456,0.532581917656326,2957.27781710872,0.233891220873916,0.403846153846154,0.865384615384615,52
"UMass-flusion_spatial2_prod",2,0.579921056959363,0.401067203356874,3069.73919685892,0.228068997912547,0.639342087976456,0.512991277083542,4265.82294273839,0.329445666905156,0.365384615384615,0.788461538461538,52
"UMass-flusion_spatial2_prod",3,0.608103718700174,0.401018070134641,4075.57384840609,0.2973261735463,0.682409095277327,0.496738709715708,5674.90619540146,0.409592528858118,0.365384615384615,0.788461538461538,52
"UMass-flusion_spatial_mem",0,0.697408119363139,0.513372127213331,2636.08046501208,0.123411075380702,0.826991255517476,0.720306126042523,3814.40494370292,0.180579046735341,0.0434782608695652,0.869565217391304,23
"UMass-flusion_spatial_mem",1,0.636922071442876,0.437568252426889,3806.01958634053,0.181697217904771,0.684623751124709,0.573030631229381,4906.582995266,0.251788793679048,0.304347826086957,0.782608695652174,23
"UMass-flusion_spatial_mem",2,0.664778375362343,0.43983829319921,5434.32543252935,0.265289343504526,0.745192665969673,0.5945551095948,7355.76301520933,0.378359911844292,0.130434782608696,0.695652173913043,23
"UMass-flusion_spatial_mem",3,0.70634125320128,0.456767254596367,7521.48869035036,0.368500545841245,0.809888069047437,0.622011756776633,10313.3035690335,0.525597487351855,0.0869565217391304,0.739130434782609,23
"UMass-gbqr",0,0.879875435680946,0.717613096835025,2054.08103657312,0.149123603111291,1.07249041269517,1.04007343506967,3139.20456645878,0.236381169127166,0.192307692307692,0.826923076923077,52
"UMass-gbqr",1,0.736997167944176,0.585922779150042,2862.89307566431,0.230699408482862,0.803958261907325,0.762542576072441,3935.36526185805,0.342545071195841,0.25,0.75,52
"UMass-gbqr",2,0.718995712056989,0.5588414190759,3849.8429972388,0.323086243811598,0.787575835697029,0.721281363196672,5335.59538386382,0.47295749398522,0.173076923076923,0.730769230769231,52
"UMass-gbqr",3,0.717576795206221,0.551685780348142,4852.96561871087,0.415759376682751,0.808424952760357,0.703700498248068,6802.14854777138,0.593450437003174,0.230769230769231,0.596153846153846,52
"UMass-gbqr_1src",0,0.790300116000295,0.64919289896893,1743.11636477681,0.131749692788197,0.953443771524765,0.942151716475533,2681.80711905564,0.207416298404285,0.225,0.8375,80
