"model_id","location","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"FluSight-baseline","01",1,1,0.0131294316700508,0.0125088792511183,1,1,0.018625,0.0177747522795897,0.339285714285714,0.875,112
"FluSight-baseline","02",1,1,0.0117419331964624,0.0111659265945028,1,1,0.0152071428571428,0.0145007655213773,0.4375,0.830357142857143,112
"FluSight-baseline","04",1,1,0.00492448359075951,0.0048159104719402,1,1,0.00748303571428571,0.00732023348443167,0.392857142857143,0.973214285714286,112
"FluSight-baseline","05",1,1,0.0089702874650112,0.0086649410061829,1,1,0.0127008928571429,0.0122794430807765,0.401785714285714,0.857142857142857,112
"FluSight-baseline","06",1,1,0.00446810408295177,0.00437076482971012,1,1,0.00683928571428571,0.00669090822001815,0.357142857142857,0.919642857142857,112
"FluSight-baseline","08",1,1,0.0107913598772582,0.0103219359802089,1,1,0.0135178571428571,0.0129598834978853,0.357142857142857,0.75,112
"FluSight-baseline","09",1,1,0.0150996475563614,0.0143405220850939,1,1,0.0185401785714286,0.0176516541383966,0.401785714285714,0.767857142857143,112
"FluSight-baseline","10",1,1,0.0100400863860731,0.00963269497617603,1,1,0.0138625,0.0133339300124898,0.339285714285714,0.866071428571429,112
"FluSight-baseline","11",1,1,0.0102569498537707,0.00987621273638173,1,1,0.0133321423549057,0.012868856352969,0.392857142857143,0.776785714285714,112
"FluSight-baseline","12",1,1,0.00779375372056292,0.00751264323016171,1,1,0.0109223214285714,0.0105355059003916,0.339285714285714,0.785714285714286,112
"FluSight-baseline","13",1,1,0.010376065569088,0.00994917681137568,1,1,0.0132464285714286,0.0127324313039565,0.375,0.821428571428571,112
"FluSight-baseline","15",1,1,0.00855525377166937,0.00816178659871047,1,1,0.0113205357142857,0.0108075729291938,0.446428571428571,0.75,112
"FluSight-baseline","16",1,1,0.00690207151047222,0.00667141238067178,1,1,0.00970089285714285,0.00939311154562477,0.339285714285714,0.892857142857143,112
"FluSight-baseline","17",1,1,0.0087539088043234,0.00840994173347493,1,1,0.0115642857142857,0.0111392031305778,0.401785714285714,0.866071428571429,112
"FluSight-baseline","18",1,1,0.00938723740553733,0.00903480359180047,1,1,0.013225,0.0127559744623319,0.375,0.875,112
"FluSight-baseline","19",1,1,0.00807413578631087,0.00779352900377899,1,1,0.0112437511116183,0.0108800085345409,0.357142857142857,0.910714285714286,112
"FluSight-baseline","20",1,1,0.00808490796195924,0.00781923913994568,1,1,0.0114294642857143,0.011067718405129,0.375,0.901785714285714,112
"FluSight-baseline","21",1,1,0.0083993514195783,0.00811168171284874,1,1,0.0123982142857143,0.0119941881090574,0.366071428571429,0.946428571428571,112
"FluSight-baseline","22",1,1,0.0101292233553675,0.00965564038678525,1,1,0.0139517857142857,0.013322055233087,0.446428571428571,0.866071428571429,112
"FluSight-baseline","23",1,1,0.00777513053721837,0.00750278488280784,1,1,0.0104267857142857,0.0100872168798831,0.348214285714286,0.875,112
"FluSight-baseline","24",1,1,0.0126242509055988,0.0120205177544815,1,1,0.0158035714285714,0.0150724325823454,0.482142857142857,0.785714285714286,112
"FluSight-baseline","25",1,1,0.0118226930443998,0.0113107628869345,1,1,0.0149642857142857,0.0143505762485103,0.392857142857143,0.776785714285714,112
"FluSight-baseline","26",1,1,0.00838815582902451,0.00808105972522373,1,1,0.0113633928571429,0.010972028551948,0.392857142857143,0.839285714285714,112
"FluSight-baseline","27",1,1,0.0140841336146347,0.0133197751849686,1,1,0.0179758928571429,0.0170504878182512,0.375,0.794642857142857,112
"FluSight-baseline","28",1,1,0.00775382027985095,0.00751392428531714,1,1,0.0117526785714286,0.0113915687905129,0.464285714285714,0.973214285714286,112
"FluSight-baseline","30",1,1,0.00599104826949247,0.00581988325326821,1,1,0.00873928571428571,0.00850338907467388,0.428571428571429,0.9375,112
"FluSight-baseline","31",1,1,0.00558922954307891,0.00546090671246431,1,1,0.00834285714285714,0.00815686343235939,0.3125,0.919642857142857,112
"FluSight-baseline","32",1,1,0.00535431317414098,0.00522146909553079,1,1,0.00709196428571428,0.00692470052195339,0.482142857142857,0.866071428571429,112
"FluSight-baseline","33",1,1,0.0105232787734503,0.0100659075759063,1,1,0.01376875,0.0132056063354891,0.357142857142857,0.8125,112
"FluSight-baseline","34",1,1,0.0131738366267429,0.0125453912095343,1,1,0.0163839285714286,0.0156352654546371,0.428571428571429,0.758928571428571,112
"FluSight-baseline","35",1,1,0.0111761994155067,0.0106477282518669,1,1,0.0145598214285714,0.0139142538943333,0.410714285714286,0.875,112
"FluSight-baseline","36",1,1,0.0112263434209059,0.0107547001571649,1,1,0.0134464285714286,0.0128953778866946,0.482142857142857,0.758928571428571,112
"FluSight-baseline","37",1,1,0.0178380814284597,0.0165467475813661,1,1,0.0221589285714286,0.0206158848006515,0.508928571428571,0.830357142857143,112
"FluSight-baseline","38",1,1,0.0104880096388244,0.0101043845555674,1,1,0.0143821428571429,0.0138924402225109,0.241071428571429,0.839285714285714,112
"FluSight-baseline","39",1,1,0.00945082948862994,0.00909437687504267,1,1,0.0130267857142857,0.0125652946999708,0.321428571428571,0.866071428571429,112
"FluSight-baseline","40",1,1,0.00573709019750119,0.00560173520189004,1,1,0.00865714285714286,0.00845877501502712,0.392857142857143,0.991071428571429,112
"FluSight-baseline","41",1,1,0.00782573512315127,0.00755642560600797,1,1,0.01124375,0.0108719284265603,0.267857142857143,0.883928571428571,112
"FluSight-baseline","42",1,1,0.00759153453111375,0.00734861364330135,1,1,0.0102732142857143,0.00996441653105949,0.392857142857143,0.830357142857143,112
"FluSight-baseline","44",1,1,0.0108182915273924,0.0104107428038239,1,1,0.0134410714285714,0.0129605729597684,0.392857142857143,0.776785714285714,112
"FluSight-baseline","45",1,1,0.0102302454074406,0.00978735561207809,1,1,0.0139526785714286,0.0133806052012676,0.428571428571429,0.875,112
"FluSight-baseline","46",1,1,0.00578387708152322,0.00562589889756218,1,1,0.00807946428571429,0.00787377790310436,0.410714285714286,0.910714285714286,112
"FluSight-baseline","47",1,1,0.00827772363307546,0.00798120391564205,1,1,0.0114,0.0110161363735407,0.410714285714286,0.883928571428571,112
"FluSight-baseline","48",1,1,0.00934516437122527,0.00892449014648684,1,1,0.0127375,0.0121844798713369,0.410714285714286,0.857142857142857,112
"FluSight-baseline","49",1,1,0.0089402576174211,0.00857358105304781,1,1,0.01184375,0.0113840148604058,0.419642857142857,0.848214285714286,112
"FluSight-baseline","50",1,1,0.00740398072962304,0.00717981025530118,1,1,0.0102375,0.00994853035122167,0.4375,0.9375,112
"FluSight-baseline","51",1,1,0.0103356111388379,0.00987231581156085,1,1,0.0139785714285714,0.0133887861086839,0.392857142857143,0.839285714285714,112
"FluSight-baseline","53",1,1,0.00530719001170295,0.00516402082226622,1,1,0.00812767857142857,0.00791219570191256,0.294642857142857,1,112
"FluSight-baseline","54",1,1,0.00582382921315502,0.0056703222061818,1,1,0.00875892857142857,0.00854128585075227,0.410714285714286,0.9375,112
"FluSight-baseline","55",1,1,0.0100548695238026,0.00963455098631699,1,1,0.0130758928571429,0.0125649388446198,0.357142857142857,0.830357142857143,112
"FluSight-baseline","56",1,1,0.0102798374674993,0.0100279689821226,1,1,0.0125910680825558,0.0123152292168811,0.517857142857143,0.8125,112
